Source,Target,StartTime,EndTime,Duration
Satellite 2,MainIoT,01-Jan-2024 00:00:00,01-Jan-2024 00:10:00,600
Satellite 2,Node 1,01-Jan-2024 00:00:00,01-Jan-2024 00:09:50,590
Satellite 1,MainIoT,01-Jan-2024 00:07:10,01-Jan-2024 00:17:45,635
Satellite 1,Node 1,01-Jan-2024 00:10:15,01-Jan-2024 00:20:10,595
Satellite 1,Node 2,01-Jan-2024 00:17:50,01-Jan-2024 00:22:35,285
Satellite 3,Node 2,01-Jan-2024 00:21:45,01-Jan-2024 00:31:05,560
Satellite 3,GS,01-Jan-2024 00:25:00,01-Jan-2024 00:36:00,660
Satellite 2,MainIoT,01-Jan-2024 01:36:30,01-Jan-2024 01:48:35,725
Satellite 2,Node 1,01-Jan-2024 01:38:45,01-Jan-2024 01:48:00,555
Satellite 3,Node 2,01-Jan-2024 02:03:50,01-Jan-2024 02:11:45,475
Satellite 3,GS,01-Jan-2024 02:07:20,01-Jan-2024 02:16:45,565
Satellite 2,MainIoT,01-Jan-2024 03:16:50,01-Jan-2024 03:27:35,645
Satellite 2,Node 1,01-Jan-2024 03:20:55,01-Jan-2024 03:27:15,380
Satellite 3,Node 2,01-Jan-2024 03:48:40,01-Jan-2024 03:49:45,65
Satellite 3,GS,01-Jan-2024 03:51:20,01-Jan-2024 03:55:55,275
Satellite 2,MainIoT,01-Jan-2024 04:56:50,01-Jan-2024 05:07:40,650
Satellite 2,Node 1,01-Jan-2024 05:00:20,01-Jan-2024 05:09:20,540
Satellite 2,Node 2,01-Jan-2024 05:06:30,01-Jan-2024 05:14:30,480
Satellite 2,GS,01-Jan-2024 05:08:45,01-Jan-2024 05:19:45,660
Satellite 2,MainIoT,01-Jan-2024 06:35:40,01-Jan-2024 06:47:55,735
Satellite 2,Node 1,01-Jan-2024 06:38:30,01-Jan-2024 06:50:35,725
Satellite 2,Node 2,01-Jan-2024 06:43:30,01-Jan-2024 06:55:55,745
Satellite 2,GS,01-Jan-2024 06:46:55,01-Jan-2024 06:58:30,695
Satellite 2,MainIoT,01-Jan-2024 08:14:20,01-Jan-2024 08:26:20,720
Satellite 2,Node 1,01-Jan-2024 08:17:10,01-Jan-2024 08:28:45,695
Satellite 2,Node 2,01-Jan-2024 08:23:35,01-Jan-2024 08:31:40,485
Satellite 2,MainIoT,01-Jan-2024 09:54:40,01-Jan-2024 10:00:00,320
