Source,Target,StartTime,EndTime,Duration
S2,N1,00:00:00,00:10:00,600
S2,N2,00:00:00,00:09:50,590
S1,N1,00:07:10,00:17:45,635
S1,N2,00:10:15,00:20:10,595
S1,N3,00:17:50,00:22:35,285
S3,N3,00:21:45,00:31:05,560
S3,N4,00:25:00,00:36:00,660
S2,N1,01:36:30,01:48:35,725
S2,N2,01:38:45,01:48:00,555
S3,N3,02:03:50,02:11:45,475
S3,N4,02:07:20,02:16:45,565
S2,N1,03:16:50,03:27:35,645
S2,N2,03:20:55,03:27:15,380
S3,N3,03:48:40,03:49:45,65
S3,N4,03:51:20,03:55:55,275
S2,N1,04:56:50,05:07:40,650
S2,N2,05:00:20,05:09:20,540
S2,N3,05:06:30,05:14:30,480
S2,N4,05:08:45,05:19:45,660
S2,N1,06:35:40,06:47:55,735
S2,N2,06:38:30,06:50:35,725
S2,N3,06:43:30,06:55:55,745
S2,N4,06:46:55,06:58:30,695
S2,N1,08:14:20,08:26:20,720
S2,N2,08:17:10,08:28:45,695
S2,N3,08:23:35,08:31:40,485
S2,N1,09:54:40,10:00:00,320
