Source,Target,StartTime,EndTime,Duration
S2,N1,00:00:00,01-Jan-2024 00:00:45,45
S2,N4,00:00:00,01-Jan-2024 00:03:10,190
S2,N7,00:00:00,01-Jan-2024 00:01:40,100
S2,N10,00:00:00,01-Jan-2024 00:07:20,440
S2,N6,00:02:00,01-Jan-2024 00:13:10,670
S2,N9,00:07:50,01-Jan-2024 00:10:40,170
S4,N8,00:09:35,01-Jan-2024 00:17:00,445
S2,N3,00:15:00,01-Jan-2024 00:24:15,555
S1,N1,00:20:50,01-Jan-2024 00:33:25,755
S6,N1,00:20:50,01-Jan-2024 00:33:25,755
S1,N4,00:22:20,01-Jan-2024 00:34:50,750
S6,N4,00:22:20,01-Jan-2024 00:34:50,750
S1,N7,00:23:35,01-Jan-2024 00:35:45,730
S6,N7,00:23:35,01-Jan-2024 00:35:45,730
S1,N10,00:26:20,01-Jan-2024 00:36:15,595
S6,N10,00:26:20,01-Jan-2024 00:36:15,595
S1,N9,00:41:10,01-Jan-2024 00:43:10,120
S6,N9,00:41:10,01-Jan-2024 00:43:10,120
S3,N8,00:42:20,01-Jan-2024 00:53:35,675
S4,N3,00:45:00,01-Jan-2024 00:57:30,750
S3,N5,00:52:05,01-Jan-2024 01:04:10,725
S5,N2,01:02:05,01-Jan-2024 01:12:10,605
S3,N6,01:06:50,01-Jan-2024 01:19:20,750
S3,N9,01:07:00,01-Jan-2024 01:16:40,580
S5,N8,01:12:10,01-Jan-2024 01:24:50,760
S3,N3,01:22:00,01-Jan-2024 01:32:35,635
S2,N1,01:27:55,01-Jan-2024 01:40:30,755
S2,N7,01:29:10,01-Jan-2024 01:41:10,720
S2,N4,01:30:05,01-Jan-2024 01:42:40,755
S2,N10,01:34:05,01-Jan-2024 01:46:35,750
S2,N6,01:41:40,01-Jan-2024 01:54:05,745
S2,N9,01:45:05,01-Jan-2024 01:55:40,635
S4,N8,01:50:10,01-Jan-2024 01:59:20,550
S1,N1,02:00:20,01-Jan-2024 02:12:40,740
S6,N1,02:00:20,01-Jan-2024 02:12:40,740
S1,N4,02:02:00,01-Jan-2024 02:12:45,645
S6,N4,02:02:00,01-Jan-2024 02:12:45,645
S1,N7,02:03:05,01-Jan-2024 02:15:25,740
S6,N7,02:03:05,01-Jan-2024 02:15:25,740
S1,N5,02:16:20,01-Jan-2024 02:28:20,720
S4,N9,02:16:20,01-Jan-2024 02:23:05,405
S6,N5,02:16:20,01-Jan-2024 02:28:20,720
S4,N3,02:26:00,01-Jan-2024 02:36:35,635
S3,N2,02:27:50,01-Jan-2024 02:40:00,730
S3,N7,02:39:25,01-Jan-2024 02:47:30,485
S3,N10,02:44:15,01-Jan-2024 02:54:25,610
S3,N4,02:44:55,01-Jan-2024 02:47:25,150
S3,N6,02:47:40,01-Jan-2024 02:58:55,675
S5,N8,02:52:55,01-Jan-2024 03:00:00,425
