Source,Target,StartTime,EndTime,Duration
S4,N12,00:00:00,01-Jan-2024 00:11:10,670
S17,N12,00:00:00,01-Jan-2024 00:02:25,145
S16,N3,00:00:00,01-Jan-2024 00:12:05,725
S16,N6,00:00:00,01-Jan-2024 00:09:55,595
S5,N3,00:00:00,01-Jan-2024 00:02:30,150
S5,N6,00:00:00,01-Jan-2024 00:02:20,140
S17,N13,00:02:05,01-Jan-2024 00:06:00,235
S16,N5,00:02:10,01-Jan-2024 00:12:20,610
S4,N13,00:06:15,01-Jan-2024 00:18:15,720
S3,N12,00:06:50,01-Jan-2024 00:19:20,750
S15,N6,00:08:00,01-Jan-2024 00:15:20,440
S15,N3,00:08:25,01-Jan-2024 00:19:40,675
S18,N9,00:09:25,01-Jan-2024 00:17:50,505
S3,N4,00:09:30,01-Jan-2024 00:15:25,355
S15,N5,00:09:35,01-Jan-2024 00:22:30,775
S18,N1,00:10:50,01-Jan-2024 00:23:00,730
S14,N4,00:11:10,01-Jan-2024 00:23:00,710
S15,N16,00:11:15,01-Jan-2024 00:23:20,725
S4,N21,00:11:20,01-Jan-2024 00:18:25,425
S15,N15,00:11:25,01-Jan-2024 00:21:55,630
S15,N2,00:12:05,01-Jan-2024 00:21:20,555
S18,N8,00:12:35,01-Jan-2024 00:20:15,460
S4,N23,00:12:40,01-Jan-2024 00:21:30,530
S4,N17,00:12:50,01-Jan-2024 00:25:15,745
S17,N9,00:13:15,01-Jan-2024 00:25:25,730
S3,N13,00:14:10,01-Jan-2024 00:26:00,710
S3,N24,00:14:35,01-Jan-2024 00:25:05,630
S2,N4,00:15:20,01-Jan-2024 00:27:45,745
S4,N10,00:15:35,01-Jan-2024 00:27:55,740
S17,N8,00:15:45,01-Jan-2024 00:28:05,740
S3,N21,00:16:35,01-Jan-2024 00:29:20,765
S17,N11,00:17:30,01-Jan-2024 00:19:45,135
S2,N12,00:17:35,01-Jan-2024 00:24:40,425
S4,N22,00:17:35,01-Jan-2024 00:26:55,560
S3,N23,00:18:35,01-Jan-2024 00:31:20,765
S4,N11,00:19:00,01-Jan-2024 00:31:30,750
S14,N15,00:19:00,01-Jan-2024 00:31:50,770
S14,N2,00:19:05,01-Jan-2024 00:31:50,765
S17,N1,00:19:10,01-Jan-2024 00:26:10,420
S14,N24,00:19:30,01-Jan-2024 00:29:00,570
S17,N18,00:19:45,01-Jan-2024 00:31:50,725
S14,N16,00:20:00,01-Jan-2024 00:32:20,740
S14,N5,00:20:15,01-Jan-2024 00:29:50,575
S17,N19,00:20:40,01-Jan-2024 00:27:10,390
S17,N14,00:21:10,01-Jan-2024 00:28:00,410
S17,N7,00:21:35,01-Jan-2024 00:24:10,155
S17,N20,00:21:35,01-Jan-2024 00:24:10,155
S3,N17,00:21:40,01-Jan-2024 00:32:00,620
S2,N24,00:21:55,01-Jan-2024 00:34:40,765
S4,N7,00:22:50,01-Jan-2024 00:35:20,750
S4,N20,00:22:50,01-Jan-2024 00:35:20,750
S24,N1,00:23:25,01-Jan-2024 00:34:15,650
S3,N22,00:23:30,01-Jan-2024 00:36:10,760
