Source,Target,StartTime,EndTime,Duration
Sat9,Sensor1,00:00:00,00:11:05,665
Sat9,Sensor2,00:00:00,00:10:55,655
Sat9,Sensor3,00:00:00,00:10:50,650
Sat9,Sensor4,00:00:00,00:10:40,640
Sat9,Sensor5,00:00:00,00:10:35,635
Sat9,Sensor6,00:00:00,00:11:00,660
Sat9,Sensor7,00:00:00,00:10:55,655
Sat9,Sensor8,00:00:00,00:10:45,645
Sat9,Sensor9,00:00:00,00:10:40,640
Sat9,Sensor10,00:00:00,00:10:30,630
Sat9,Sensor11,00:00:00,00:11:05,665
Sat9,Sensor12,00:00:00,00:11:00,660
Sat9,Sensor13,00:00:00,00:10:50,650
Sat9,Sensor14,00:00:00,00:10:45,645
Sat9,Sensor15,00:00:00,00:10:35,635
Sat9,Sensor16,00:00:00,00:11:00,660
Sat9,Sensor17,00:00:00,00:10:55,655
Sat9,Sensor18,00:00:00,00:10:50,650
Sat9,Sensor19,00:00:00,00:10:40,640
Sat9,Sensor20,00:00:00,00:10:35,635
Sat9,Sensor21,00:00:00,00:11:05,665
Sat9,Sensor22,00:00:00,00:11:00,660
Sat9,Sensor23,00:00:00,00:10:55,655
Sat9,Sensor24,00:00:00,00:10:45,645
Sat9,Sensor25,00:00:00,00:10:40,640
Sat10,Sensor1,00:00:00,00:10:00,600
Sat10,Sensor2,00:00:00,00:09:55,595
Sat10,Sensor3,00:00:00,00:09:45,585
Sat10,Sensor4,00:00:00,00:09:40,580
Sat10,Sensor5,00:00:00,00:09:35,575
Sat10,Sensor6,00:00:00,00:09:55,595
Sat10,Sensor7,00:00:00,00:09:50,590
Sat10,Sensor8,00:00:00,00:09:40,580
Sat10,Sensor9,00:00:00,00:09:35,575
Sat10,Sensor10,00:00:00,00:09:30,570
Sat10,Sensor11,00:00:00,00:09:55,595
Sat10,Sensor12,00:00:00,00:09:50,590
Sat10,Sensor13,00:00:00,00:09:45,585
Sat10,Sensor14,00:00:00,00:09:35,575
Sat10,Sensor15,00:00:00,00:09:30,570
Sat10,Sensor16,00:00:00,00:09:50,590
