Source,Target,StartTime,EndTime,Duration
S5,N3,01-Jan-2024 00:00:00,01-Jan-2024 00:11:00,660
S5,N4,01-Jan-2024 00:00:00,01-Jan-2024 00:09:00,540
S5,N8,01-Jan-2024 00:00:00,01-Jan-2024 00:11:00,660
S7,N1,01-Jan-2024 00:00:00,01-Jan-2024 00:02:00,120
S7,N2,01-Jan-2024 00:00:00,01-Jan-2024 00:10:00,600
S7,N10,01-Jan-2024 00:00:00,01-Jan-2024 00:03:00,180
S14,N4,01-Jan-2024 00:00:00,01-Jan-2024 00:01:00,60
S16,N1,01-Jan-2024 00:00:00,01-Jan-2024 00:08:00,480
S16,N2,01-Jan-2024 00:00:00,01-Jan-2024 00:02:00,120
S16,N10,01-Jan-2024 00:00:00,01-Jan-2024 00:06:00,360
S7,N6,01-Jan-2024 00:03:00,01-Jan-2024 00:10:00,420
S7,N7,01-Jan-2024 00:03:00,01-Jan-2024 00:13:00,600
S14,N9,01-Jan-2024 00:03:00,01-Jan-2024 00:11:00,480
S16,N5,01-Jan-2024 00:04:00,01-Jan-2024 00:12:00,480
S5,N6,01-Jan-2024 00:05:00,01-Jan-2024 00:11:00,360
S5,N20,01-Jan-2024 00:05:00,01-Jan-2024 00:16:00,660
S5,N13,01-Jan-2024 00:08:00,01-Jan-2024 00:20:00,720
S16,N9,01-Jan-2024 00:08:00,01-Jan-2024 00:17:00,540
S5,N19,01-Jan-2024 00:09:00,01-Jan-2024 00:20:00,660
S7,N12,01-Jan-2024 00:09:00,01-Jan-2024 00:20:00,660
S7,N14,01-Jan-2024 00:09:00,01-Jan-2024 00:21:00,720
S7,N16,01-Jan-2024 00:09:00,01-Jan-2024 00:20:00,660
S5,N17,01-Jan-2024 00:10:00,01-Jan-2024 00:21:00,660
S5,N18,01-Jan-2024 00:10:00,01-Jan-2024 00:21:00,660
S7,N11,01-Jan-2024 00:10:00,01-Jan-2024 00:21:00,660
S5,N15,01-Jan-2024 00:11:00,01-Jan-2024 00:23:00,720
S7,N13,01-Jan-2024 00:11:00,01-Jan-2024 00:17:00,360
S7,N17,01-Jan-2024 00:11:00,01-Jan-2024 00:19:00,480
S7,N18,01-Jan-2024 00:11:00,01-Jan-2024 00:19:00,480
