Source	Target	Start Time	End Time	Duration
Satellite 7	IoT Device 5	01-Jan-2024	01-Jan-2024 00:11:00	660
Satellite 8	IoT Device 5	01-Jan-2024	01-Jan-2024 00:07:00	420
Satellite 7	Ground Station 1	01-Jan-2024 00:03:00	01-Jan-2024 00:13:00	600
Satellite 6	IoT Device 5	01-Jan-2024 00:04:00	01-Jan-2024 00:15:00	660
Satellite 6	IoT Device 6	01-Jan-2024 00:05:00	01-Jan-2024 00:13:00	480
Satellite 6	Ground Station 1	01-Jan-2024 00:06:00	01-Jan-2024 00:18:00	720
Satellite 5	IoT Device 4	01-Jan-2024 00:06:00	01-Jan-2024 00:12:00	360
Satellite 6	IoT Device 3	01-Jan-2024 00:06:00	01-Jan-2024 00:12:00	360
Satellite 5	IoT Device 2	01-Jan-2024 00:07:00	01-Jan-2024 00:15:00	480
Satellite 5	IoT Device 6	01-Jan-2024 00:07:00	01-Jan-2024 00:18:00	660
Satellite 6	IoT Device 11	01-Jan-2024 00:07:00	01-Jan-2024 00:16:00	540
Satellite 4	IoT Device 4	01-Jan-2024 00:08:00	01-Jan-2024 00:18:00	600
Satellite 5	IoT Device 3	01-Jan-2024 00:08:00	01-Jan-2024 00:17:00	540
Satellite 7	IoT Device 11	01-Jan-2024 00:08:00	01-Jan-2024 00:10:00	120
Satellite 5	IoT Device 10	01-Jan-2024 00:09:00	01-Jan-2024 00:12:00	180
Satellite 5	Ground Station 1	01-Jan-2024 00:10:00	01-Jan-2024 00:22:00	720
Satellite 4	IoT Device 2	01-Jan-2024 00:10:00	01-Jan-2024 00:20:00	600
Satellite 4	IoT Device 10	01-Jan-2024 00:10:00	01-Jan-2024 00:18:00	480
Satellite 5	IoT Device 9	01-Jan-2024 00:10:00	01-Jan-2024 00:18:00	480
Satellite 5	IoT Device 11	01-Jan-2024 00:10:00	01-Jan-2024 00:21:00	660
Satellite 6	IoT Device 9	01-Jan-2024 00:10:00	01-Jan-2024 00:12:00	120
Satellite 3	IoT Device 4	01-Jan-2024 00:11:00	01-Jan-2024 00:22:00	660
Satellite 4	IoT Device 3	01-Jan-2024 00:11:00	01-Jan-2024 00:22:00	660
Satellite 4	IoT Device 6	01-Jan-2024 00:11:00	01-Jan-2024 00:23:00	720
Satellite 5	IoT Device 5	01-Jan-2024 00:11:00	01-Jan-2024 00:19:00	480
Satellite 4	IoT Device 9	01-Jan-2024 00:13:00	01-Jan-2024 00:22:00	540
Satellite 3	IoT Device 2	01-Jan-2024 00:14:00	01-Jan-2024 00:24:00	600
Satellite 3	IoT Device 10	01-Jan-2024 00:14:00	01-Jan-2024 00:22:00	480
Satellite 4	IoT Device 11	01-Jan-2024 00:14:00	01-Jan-2024 00:25:00	660
Satellite 4	Ground Station 1	01-Jan-2024 00:15:00	01-Jan-2024 00:27:00	720
Satellite 3	IoT Device 3	01-Jan-2024 00:15:00	01-Jan-2024 00:26:00	660
Satellite 4	IoT Device 7	01-Jan-2024 00:15:00	01-Jan-2024 00:17:00	120
Satellite 2	IoT Device 4	01-Jan-2024 00:16:00	01-Jan-2024 00:27:00	660
Satellite 3	IoT Device 6	01-Jan-2024 00:16:00	01-Jan-2024 00:27:00	660
Satellite 4	IoT Device 5	01-Jan-2024 00:16:00	01-Jan-2024 00:25:00	540
Satellite 3	IoT Device 9	01-Jan-2024 00:17:00	01-Jan-2024 00:26:00	540
Satellite 2	IoT Device 10	01-Jan-2024 00:18:00	01-Jan-2024 00:26:00	480
Satellite 3	IoT Device 7	01-Jan-2024 00:18:00	01-Jan-2024 00:21:00	180
Satellite 3	IoT Device 11	01-Jan-2024 00:18:00	01-Jan-2024 00:29:00	660
Satellite 2	IoT Device 2	01-Jan-2024 00:19:00	01-Jan-2024 00:29:00	600
Satellite 3	Ground Station 1	01-Jan-2024 00:20:00	01-Jan-2024 00:32:00	720
Satellite 2	IoT Device 3	01-Jan-2024 00:20:00	01-Jan-2024 00:30:00	600
Satellite 1	IoT Device 4	01-Jan-2024 00:21:00	01-Jan-2024 00:31:00	600
Satellite 2	IoT Device 6	01-Jan-2024 00:21:00	01-Jan-2024 00:31:00	600
Satellite 3	IoT Device 5	01-Jan-2024 00:21:00	01-Jan-2024 00:31:00	600
Satellite 2	IoT Device 9	01-Jan-2024 00:22:00	01-Jan-2024 00:29:00	420
Satellite 1	IoT Device 10	01-Jan-2024 00:24:00	01-Jan-2024 00:29:00	300
Satellite 2	IoT Device 11	01-Jan-2024 00:24:00	01-Jan-2024 00:33:00	540
Satellite 2	Ground Station 1	01-Jan-2024 00:25:00	01-Jan-2024 00:36:00	660
Satellite 1	IoT Device 2	01-Jan-2024 00:25:00	01-Jan-2024 00:32:00	420
Satellite 2	IoT Device 5	01-Jan-2024 00:26:00	01-Jan-2024 00:37:00	660
Satellite 17	IoT Device Main	01-Jan-2024 00:26:00	01-Jan-2024 00:37:00	660
Satellite 1	IoT Device 3	01-Jan-2024 00:27:00	01-Jan-2024 00:33:00	360
Satellite 1	IoT Device 6	01-Jan-2024 00:27:00	01-Jan-2024 00:35:00	480
Satellite 16	IoT Device Main	01-Jan-2024 00:27:00	01-Jan-2024 00:37:00	600
Satellite 18	IoT Device Main	01-Jan-2024 00:27:00	01-Jan-2024 00:35:00	480
Satellite 17	IoT Device 8	01-Jan-2024 00:28:00	01-Jan-2024 00:39:00	660
Satellite 16	IoT Device 7	01-Jan-2024 00:29:00	01-Jan-2024 00:40:00	660
Satellite 16	IoT Device 8	01-Jan-2024 00:29:00	01-Jan-2024 00:39:00	600
Satellite 17	IoT Device 7	01-Jan-2024 00:30:00	01-Jan-2024 00:38:00	480
Satellite 1	Ground Station 1	01-Jan-2024 00:31:00	01-Jan-2024 00:39:00	480
Satellite 1	IoT Device 5	01-Jan-2024 00:31:00	01-Jan-2024 00:43:00	720
Satellite 15	IoT Device 7	01-Jan-2024 00:31:00	01-Jan-2024 00:39:00	480
Satellite 16	IoT Device 9	01-Jan-2024 00:31:00	01-Jan-2024 00:42:00	660
Satellite 16	IoT Device 10	01-Jan-2024 00:31:00	01-Jan-2024 00:42:00	660
Satellite 17	IoT Device 9	01-Jan-2024 00:31:00	01-Jan-2024 00:41:00	600
Satellite 18	IoT Device 8	01-Jan-2024 00:31:00	01-Jan-2024 00:34:00	180
Satellite 1	IoT Device 11	01-Jan-2024 00:32:00	01-Jan-2024 00:34:00	120
Satellite 16	IoT Device 2	01-Jan-2024 00:32:00	01-Jan-2024 00:44:00	720
Satellite 17	IoT Device 11	01-Jan-2024 00:32:00	01-Jan-2024 00:43:00	660
Satellite 15	IoT Device 10	01-Jan-2024 00:33:00	01-Jan-2024 00:42:00	540
Satellite 16	IoT Device 3	01-Jan-2024 00:33:00	01-Jan-2024 00:43:00	600
Satellite 16	IoT Device 4	01-Jan-2024 00:33:00	01-Jan-2024 00:43:00	600
Satellite 17	IoT Device 3	01-Jan-2024 00:33:00	01-Jan-2024 00:42:00	540
Satellite 17	Ground Station 1	01-Jan-2024 00:34:00	01-Jan-2024 00:45:00	660
Satellite 15	IoT Device 4	01-Jan-2024 00:34:00	01-Jan-2024 00:44:00	600
Satellite 16	IoT Device 6	01-Jan-2024 00:34:00	01-Jan-2024 00:44:00	600
